,Year,Park Name,Spending,Visitation,temp_avg,precip_sum,visibility,uvindex,severerisk,acres,count,dmr,light_pollution_ratio
407,2012,Haleakala,5436,1094668.0,74.68169398907104,5.273,10.05792349726776,8.5,,,,,0.1433333333333333
408,2013,Haleakala,5371,785300.0,75.71369863013699,15.198,10.027397260273972,8.369863014,,,,,
409,2014,Haleakala,5371,1142040.0,76.11616438356165,21.479,9.967397260273971,8.216438356164383,,,,,
410,2015,Haleakala,5317,1216772.0,76.46986301369863,31.287,9.956438356164384,8.394520547945206,,,,22331454.2,
411,2016,Haleakala,5382,1263558.0,76.36284153005464,20.737,9.893442623,8.407103825136613,,,,22384766.31,
412,2017,Haleakala,5596,1112390.0,76.18602739726028,26.194,9.956986301369865,8.520547945205479,,,,21107901.62,
413,2018,Haleakala,5585,1044084.0,76.23013698630137,23.288,9.773698630136986,7.556164383561644,,,,24382236.31,
414,2019,Haleakala,5623,994394.0,77.6090411,13.07,9.868493150684932,8.158904109589042,,,,26014699.23,
415,2020,Haleakala,5668,319147.0,77.44453551912568,11.168,9.939344262295082,7.961748633879782,,,,,
416,2021,Haleakala,5767,853181.0,75.81013698630137,24.178,9.828219178082191,7.756164383561644,,,,,
417,2022,Haleakala,5925,1087616.0,77.09945205479451,6.44,9.816712328767125,7.884931506849315,11.095505617977528,,,,
418,2023,Haleakala,5925,,76.10054794520548,10.186,9.796164383561644,7.704109589041096,10.547945205479452,,,73318870.0,
419,2024,Haleakala,6388,,,,,,,,,,
420,2011,Hawaii Volcanoes,7125,1352123.0,55.51698630136986,20.132,9.238356164383562,8.523287671232877,,,,,
421,2012,Hawaii Volcanoes,7018,1483928.0,55.81830601092896,17.67,9.289890710382512,8.950819672131148,,,,,
422,2013,Hawaii Volcanoes,7355,1583209.0,56.06027397260274,19.695,9.722739726027395,8.706849315068494,,,,,
423,2014,Hawaii Volcanoes,7355,1693005.0,56.78520547945205,23.448,9.710136986,8.509589041095891,,,,,
424,2015,Hawaii Volcanoes,7281,1832660.0,57.574520547945205,51.181,9.197534246575342,8.583561643835617,,,,78932237.43,
425,2016,Hawaii Volcanoes,7551,1887580.0,57.66366120218579,45.958,9.346721311,8.718579234972678,,,,76214949.36,
426,2017,Hawaii Volcanoes,7871,2016702.0,56.91424657534247,34.084,9.494246575342466,8.769863014,,,,85545253.57,
427,2018,Hawaii Volcanoes,7856,1116891.0,56.84465753424657,62.275,9.247671232876712,7.197260273972603,,,,92735494.03,
428,2019,Hawaii Volcanoes,7910,1368376.0,57.44219178082192,20.347,9.455616438356165,7.652054794520548,,,,107336432.9,
429,2020,Hawaii Volcanoes,7974,589775.0,57.50437158469945,24.191,9.503825136612022,7.756830601092896,,,,,
430,2021,Hawaii Volcanoes,8227,1262747.0,55.59835616438357,60.457,9.209315068,7.545205479452055,,,,,
431,2022,Hawaii Volcanoes,8297,1580961.0,53.53424657534247,28.734,9.356043956043957,7.758904109589041,10.674157303370787,,,,
432,2023,Hawaii Volcanoes,8297,,55.88301369863014,43.104,9.437260273972605,7.586301369863014,10.164383561643836,,,201852756.0,
433,2024,Hawaii Volcanoes,9028,,,,,,,,,,
434,2011,Hot Springs,4751,1396354.0,63.43671232876713,52.656,9.092328767123288,7.227397260273973,,,,,
435,2012,Hot Springs,4751,1302505.0,65.17213114754098,34.886,9.396721311,7.191256830601093,,5.8,6.0,,
436,2013,Hot Springs,4599,1325719.0,61.34849315068493,43.68,9.246027397260274,7.128767123287672,,,,,
437,2014,Hot Springs,4599,1424484.0,60.48986301369863,41.174,9.068219178082192,7.005479452054795,,2.0,1.0,,
438,2015,Hot Springs,4553,1418162.0,63.32794520547945,60.376,9.285205479452054,6.8712328767123285,,0.4,2.0,19595323.08,
439,2016,Hot Springs,4577,1544300.0,64.32595628415301,47.213,9.381967213114754,6.896174863387978,,20.4,5.0,19960757.51,
440,2017,Hot Springs,4652,1561616.0,64.73315068,34.473,9.408767123287673,6.983561643835617,,0.1,1.0,12360491.16,
441,2018,Hot Springs,4639,1506887.0,63.27561643835616,59.624,9.248767123287672,5.263013698630137,,0.1,1.0,14939420.44,
442,2019,Hot Springs,4662,1467153.0,63.17452054794521,53.087,9.137808219178083,6.123287671232877,,,,14158542.95,
443,2020,Hot Springs,4683,1348215.0,62.88961748633879,62.476,9.26174863387978,5.863387978142076,,,,,
444,2021,Hot Springs,4600,2162884.0,63.42301369863014,35.656,9.097534246575345,6.065753424657534,,136.62,1.0,,
445,2022,Hot Springs,4831,2646133.0,63.08246575342466,31.351,9.252328767123288,6.457534246575342,32.73314606741573,162.63,3.0,,
446,2023,Hot Springs,4831,,64.46904109589042,42.23,9.01890410958904,6.216438356164384,26.383561643835616,17.63,3.0,30263112.0,
447,2024,Hot Springs,6001,,,,,,,1.0,1.0,,
448,2011,Indiana Dunes,9508,1840513.0,51.18630136986302,35.684,8.677808219178083,,,0.6000000000000001,6.0,,
449,2012,Indiana Dunes,9371,1889381.0,53.46174863387978,24.718,8.885792349726776,,,75.0,9.0,,
450,2013,Indiana Dunes,9086,1681695.0,48.87424657534246,32.175,8.747945205479452,,,11.4,9.0,,
451,2014,Indiana Dunes,9086,1553372.0,46.86684932,33.047,8.704657534246575,,,0.4,4.0,,
452,2015,Indiana Dunes,8996,1640195.0,50.706849315068496,30.042,8.792602739726028,,,266.1,3.0,27110696.64,
453,2016,Indiana Dunes,9046,1698223.0,52.551366120218574,29.444,9.116939890710382,,,420.0,6.0,25394949.83,
454,2017,Indiana Dunes,9447,2158471.0,52.17397260273973,31.837,8.793424657534246,,,16.4,15.0,26556235.84,
455,2018,Indiana Dunes,9366,1756079.0,50.88520547945205,29.404,8.469315068,5.2967032967032965,,0.2,2.0,27797754.55,
456,2019,Indiana Dunes,9383,2134285.0,50.08739726027397,35.697,8.966301369863015,5.139726027,,223.9,7.0,28333844.98,
457,2020,Indiana Dunes,9408,2293106.0,51.17868852459016,31.04,8.922404372,5.633879781420765,,0.03,2.0,,
458,2021,Indiana Dunes,9478,3177210.0,52.032876712328765,29.885,8.879726027,5.583561643835616,,424.58,1.0,,
459,2022,Indiana Dunes,9748,2834180.0,49.87561643835616,22.753,8.98,5.539726027,,,,,
460,2023,Indiana Dunes,9748,,51.76328767123288,30.37,8.797808219178084,5.479452055,,,,46119113.0,
461,2024,Indiana Dunes,10392,,,,,,,,,,
462,2011,Isle Royale,4593,15892.0,39.079726027397264,19.225,15.111764705882353,5.367123287671233,,0.1,1.0,,0.19
463,2012,Isle Royale,4497,16663.0,42.41120218579235,23.829,13.790548780487804,5.480874317,,5.0,1.0,,0.11
464,2013,Isle Royale,4349,16274.0,36.49863014,21.0,10.380440771349862,5.326027397260274,,0.1,1.0,,
465,2014,Isle Royale,4349,14560.0,34.827397260273976,18.91,9.034794520547946,5.205479452054795,,,,,
466,2015,Isle Royale,4306,18684.0,38.82410958904109,35.484,9.189256198347108,5.416438356164384,,,,15470123.56,
467,2016,Isle Royale,4326,24966.0,41.04562841530055,24.736,9.184426229508198,5.363387978142076,,,,14877294.24,
468,2017,Isle Royale,4661,28196.0,39.43698630136986,23.031,9.156438356164385,5.158904109589041,,,,17676294.17,
469,2018,Isle Royale,4614,25798.0,37.72438356164383,17.464,9.262637362637362,5.101369863013699,,,,17881876.68,
470,2019,Isle Royale,4503,26410.0,37.74356164383561,23.512,9.204089219330855,5.098630136986301,,,,12514386.59,
471,2020,Isle Royale,4465,6493.0,40.05546448087431,19.004,9.390756302521009,5.224043715846994,,,,,
472,2021,Isle Royale,4590,25844.0,41.82246575342466,20.71,9.179063360881544,4.920547945205479,,,,,
473,2022,Isle Royale,4678,25454.0,37.53205479452055,28.418,10.474175824175823,4.5917808219178085,10.0,6.14,1.0,,
474,2023,Isle Royale,4678,,41.30301369863014,15.72,8.80109589,4.454794520547945,10.164383561643836,,,57704535.0,
475,2024,Isle Royale,5021,,,,,,,,,,
476,2011,Joshua Tree,6381,1396237.0,70.76849315068493,1.814,9.380547945,8.167123287671233,,,,,
477,2012,Joshua Tree,6381,1396117.0,73.23333333333333,2.548,9.462568306,8.12295082,,,,,
478,2013,Joshua Tree,6145,1383340.0,72.28794520547945,2.164,9.780547945,8.120547945,,,,,
479,2014,Joshua Tree,6145,1589904.0,74.26794520547945,1.641,9.788219178082192,8.109589041,,,,,
480,2015,Joshua Tree,6084,2025756.0,73.39150684931508,4.551,9.823287671232876,8.057534246575342,,,,60715374.49,
481,2016,Joshua Tree,6159,2505286.0,73.59043715846994,4.348,9.763114754,8.166666666666666,,,,35494526.33,
482,2017,Joshua Tree,6245,2853619.0,74.55726027,3.502,9.813424657534249,8.087671232876712,,,,46796158.68,
483,2018,Joshua Tree,6233,2942382.0,75.01671232876711,3.471,9.786849315068494,8.090410959,,,,65923906.77,
484,2019,Joshua Tree,6283,2988547.0,72.61397260273972,6.629,9.615342465753423,7.967123287671233,,,,44380237.93,
485,2020,Joshua Tree,6327,2399542.0,73.94016393442622,3.035,9.721857923497268,8.027322404371585,,,,,
486,2021,Joshua Tree,6776,3064400.0,74.13643835616438,1.486,9.805479452054794,8.038356164383561,,,,,
487,2022,Joshua Tree,6827,3058294.0,73.60712328767123,1.84,9.81780821917808,8.010958904,16.30617978,,,,
