UNIT_CODE,UNIT_NAME,UNIT_TYPE,STATE,Abandoned Wells within 30 miles,active_wells_in_parks,at_risk
ASIS,Assateague Island National Seashore,National Seashore,MD,0,,
SAJH,San Juan Island National Historical Park,National Historical Park,WA,0,,
REDW,Redwood National Park,National Park,CA,0,0,0
SHEN,Shenandoah National Park,National Park,VA,0,0,0
ACAD,Acadia National Park,National Park,ME,0,0,0
TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,FL,0,,
SAJU,San Juan National Historic Site,National Historic Site,PR,0,,
BLUE,Bluestone National Scenic River,National Scenic River,WV,101,,
GARI,Gauley River National Recreation Area,National Recreation Area,WV,1031,,
LEWI,Lewis and Clark National Historical Park,National Historical Park,WA,0,,
NEPE,Nez Perce National Historical Park,National Historical Park,WA,9,,
LARO,Lake Roosevelt National Recreation Area,National Recreation Area,WA,0,,
HATU,Harriet Tubman Underground Railroad National Historical Park,National Historical Park,MD,0,,
STEA,Steamtown National Historic Site,National Historic Site,PA,0,,
EBLA,Ebey's Landing National Historical Reserve,National Historical Reserve,WA,0,,
FIIS,Fire Island National Seashore,National Seashore,NY,1,,
CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,GA,1,,
GRSM,Great Smoky Mountains National Park,National Park,NC,0,0,0
NERI,New River Gorge National River,National Park,VA,738,0,0
CAHA,Cape Hatteras National Seashore,National Seashore,NC,0,,
LOWE,Lowell National Historical Park,National Historical Park,MA,0,,
BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,TN,1187,,
DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,PA,0,,
ISRO,Isle Royale National Park,National Park,MI,0,0,0
VICK,Vicksburg National Military Park,National Military Park,LA,140,,
DELA,Delaware National Scenic River,National Scenic River,PA,0,,
HART,Harriet Tubman National Historical Park,National Historical Park,NY,187,,
WHSA,White Sands National Park,National Park,NM,0,0,0
MNRR,Missouri National Recreation River,National Recreation River,SD,17,,
MIMI,Minuteman Missile National Historic Site,National Historic Site,SD,0,,
DEVA,Death Valley National Park,National Park,CA,0,0,0
SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,MI,212,,
INDU,Indiana Dunes National Park,National Park,IN,18,0,0
SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,CA,5705,,
WHIS,Whiskeytown-Shasta-Trinity National Recreation Area,National Recreation Area,CA,0,,
NICO,Nicodemus National Historic Site,National Historic Site,KS,388,,
CAGR,Casa Grande Ruins National Monument,National Monument,AZ,0,,
CHPI,Charles Pinckney National Historic Site,National Historic Site,SC,0,,
REER,Reconstruction Era National Historical Park,National Historical Park,SC,0,,
HOSP,Hot Springs National Park,National Park,AR,18,0,0
BUFF,Buffalo National River,National River,AR,133,,
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,DC,0,,
FRDE,Franklin Delano Roosevelt Memorial,National Memorial,DC,0,,
PETR,Petroglyph National Monument,National Monument,NM,0,,
BEOL,Bent's Old Fort National Historic Site,National Historic Site,CO,0,,
CANE,Camp Nelson National Monument,National Monument,KY,34,,
CARL,Carl Sandburg Home National Historic Site,National Historic Site,NC,0,,
MOJA,Mojave National Preserve,National Preserve,CA,13,,
CUGA,Cumberland Gap National Historical Park,National Historical Park,KY,183,,
DDEM,Dwight D. Eisenhower Memorial,Memorial,DC,0,,
ELMA,El Malpais National Monument,National Monument,NM,0,,
FORA,Fort Raleigh National Historic Site,National Historic Site,NC,0,,
FRRI,Freedom Riders National Monument,National Monument,AL,19,,
GUCO,Guilford Courthouse National Military Park,National Military Park,NC,0,,
HAFE,Harpers Ferry National Historical Park,National Historical Park,WV,0,,
KEMO,Kennesaw Mountain National Battlefield Park,National Battlefield Park,GA,0,,
MEMY,Medgar and Myrlie Evers Home National Monument,National Monument,MS,103,,
MISP,Mill Springs Battlefield National Monument,National Monument,KY,657,,
MONO,Monocacy National Battlefield,National Battlefield,MD,0,,
OBRI,Obed Wild and Scenic River,Wild and Scenic River,TN,196,,
OCMU,Ocmulgee Mounds National Historical Park,National Historical Park,GA,0,,
PAAL,Palo Alto Battlefield National Historical Park,National Historical Park,TX,7,,
PIRO,Pictured Rocks National Lakeshore,National Lakeshore,MI,0,,
SHIL,Shiloh National Military Park,National Military Park,MS,1,,
TUSK,Tule Springs Fossil Beds National Monument,National Monument,NV,13,,
STGE,Ste. Geneviève National Historical Park,National Historical Park,MO,228,,
NACA,National Capital Parks,Park,DC,0,,
CATO,Catoctin Mountain Park,Other Designation,MD,0,,
